"X","date","googlehits","team","odds","propTVMarketSize","winpct","attendance","attgame","payroll","date_ts","month","year","playoffs","phase","is_playoffs","Month","mlb_searches","googlehits_orig","mlb_searches_orig","Day","ghits","ghits_rescaled","log_ghits_rescaled","No_Playoffs","Lost_WC","Lost_Quarter","Lost_Semi","Lost_WS","Won_WS","eliminated","in_WS","ghits_norm"
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-01,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-02,1,0.42,0.350656871613169,1,0,0,0,0,0,2004-09-30,0,0.520095456252366
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-03,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-04,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-05,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-06,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-07,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-08,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-09,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-10,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-11,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-12,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-13,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-14,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-15,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-16,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-17,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-18,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-19,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-20,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-21,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-22,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
10,"2004-10-01",-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21,2004-10-23,0,0,0,1,0,0,0,0,0,2004-09-30,0,-0.880923247070404
